DOI,CCDC_DOI,CCDC,Compound,Dimensionality,Bandgap,PLE,PL,Emission color,PLQY,Lifetime
https://doi.org/10.1002/adom.202202169, 10.5517/ccdc.csd.cc2cyc8z,2202961,[CuCl(PPh3)2(3-methylpyridine)] ,0D,4.96,365,519,— ,94.95,13.43
https://doi.org/10.1002/adom.202202169,10.5517/ccdc.csd.cc2cyc7y,2202960,[CuBr(PPh3)2(3-methylpyridine)] ,0D,4.98,365,487,— ,90.24,24.83
https://doi.org/10.1002/adom.202202169,10.5517/ccdc.csd.cc2cym10,2203202,[CuI(PPh3)2(3-methylpyridine)] ,0D,4.92,365,466,— ,93.21,24.78
https://doi.org/10.1002/adom.202202169,10.5517/ccdc.csd.cc2cyc6x,2202959,"[CuI(PPh3)2(3,5-dimethylpyridine)]",0D,4.98,365,467,— ,91.88,14.46
https://doi.org/10.1002/adom.202202169,10.5517/ccdc.csd.cc2cyc5w,2202958,[CuI(PPh3)2(pyridine)] ,0D,4.86,365,488,— ,96.61,18.8
https://doi.org/10.1039/C4DT02709D,10.5517/cc123fvg,986415,[CuCl(PPh3)2(4-Mepy)],0D,3.92,350,468,Blue,99,9.4
https://doi.org/10.1039/C4DT02709D, 10.5517/cc123fwh,986416,[CuBr(PPh3)2(4-Mepy)],0D,3.7,350,467,Blue,95,15
https://doi.org/10.1039/C4DT02709D, 10.5517/cc123fxj,986417,[CuI(PPh3)2(4-Mepy)],0D,3.46,350,455,Blue,66,9.5
https://doi.org/10.1039/D4CE00898G, 10.5517/ccdc.csd.cc2jwb6z,2349961,[CuI(PPh3)2(imidazole)],0D,3.323,352,492,Blue,51,24.33
https://doi.org/10.1039/D4CE00898G,10.5517/ccdc.csd.cc2jwb70,2349962,[CuI(PPh3)2(2-methyl-1H-imidazole)],0D,3.324,352,494,Blue,56,11.53
https://doi.org/10.1039/D4CE00898G,10.5517/ccdc.csd.cc2jwb92,2349964,[CuI(PPh3)2(4-methyl-1H-imidazole)],0D,3.22,356,492,Blue,57,17.69
https://doi.org/10.1039/D4CE00898G,10.5517/ccdc.csd.cc2jwbb3,2349965,"[CuI(PPh3)2(1,2-dimethyl-1H-imidazole)]",0D,3.15,360,496,Blue,64,15.02
10.1021/jacs.4c14545,10.5517/ccdc.csd.cc2kpx06,2374538,[Cu4I4(4-(tert-butyl)-2-(diphenylphosphaneyl)pyridine)2 ],0D,— ,320,"490, 590",White,97,"38, 28"
10.1039/D5DT00103J,10.5517/ccdc.csd.cc2m3vzl,2416790,Cu4Cl4[(di-t-butylphosphanyl)pyridine]2,0D,2.42,350,540,Green,84,23.8
10.1039/D5DT00103J,10.5517/ccdc.csd.cc2m3w3r,2416794,Cu4Cl4[(t-butylphosphanediyl)dipyridine]2,0D,2.49,350,570,Green,16,10.2
10.1039/D5DT00103J,10.5517/ccdc.csd.cc2m3w0n,2416791,Cu4Br4[(di-t-butylphosphanyl)pyridine]2,0D,2.51,350,514,Green,47,18
10.1039/D5DT00103J, 10.5517/ccdc.csd.cc2m3w1p,2416792,Cu4Br4[(di-t-butylphosphanyl)pyridine]2,0D,2.51,350,541,Yellow-green,64,22
10.1039/D5DT00103J, 10.5517/ccdc.csd.cc2m3w2q,2416793,Cu4I4[(di-t-butylphosphanyl)pyridine]2,0D,— ,350,534,Green,33,11
10.1039/D5DT00103J,10.5517/ccdc.csd.cc2m3w5t,2416796,Cu4I4[(t-butylphosphanediyl)dipyridine]2,0D,2.46,350,"528, 634",Green,1,"5.6, 5.3"
10.1039/D2CE00408A, 10.5517/ccdc.csd.cc29zwck,2144839,(Py3P–O–PPy3)(Cu2I4)  (Py = pyrrolidine),0D,3.51,355,472,Blue-green,83.11,2.58
10.1039/D2CE00408A,10.5517/ccdc.csd.cc29zwgn,2144842,(Py3P–O–PPy3)(Cu4I6)  (Py = pyrrolidine),0D,3.14,425,535,Green,90.77,4.47
10.1021/acs.inorgchem.0c03187,10.5517/ccdc.csd.cc250tmn,1996791,[(2-(Bis(4-methylphenyl)phosphino)pyridine)(triphenylphosphine)2Cu2I2],0D,3.02,350,549,Greenish-yellow,74,6.3
10.1021/acs.inorgchem.0c03187,10.5517/ccdc.csd.cc250tst,1996796,[(2-(Bis(4-methylphenyl)phosphino)pyridin)(tris(4-methoxyphenyl)phosphine)2Cu2I2],0D,2.94,350,567,Greenish-yellow,45,6.5
10.1021/acs.inorgchem.0c03187,10.5517/ccdc.csd.cc250txy,1996800,[(2-(Bis(4-methylphenyl)phosphino)pyridine)(tri(2-furyl)phosphine)2Cu2I2],0D,3.14,350,524,Greenish-yellow,67,6.8
10.1021/acs.inorgchem.0c03187,10.5517/ccdc.csd.cc250trs,1996795,[(2-(Bis(4-methylphenyl)phosphino)pyridin)(tris(4-fluorophenyl)phosphine)2Cu2I2],0D,3.13,350,529,Greenish-yellow,89,7.3
10.1021/acs.inorgchem.0c03187,10.5517/ccdc.csd.cc250rxw,1996738,[(2-(Bis(4-methylphenyl)phosphino)-4-methylpyridine)3Cu2I2] ,0D,— ,350,551,Greenish-yellow,42,8
10.1021/acs.inorgchem.0c03187, 10.5517/ccdc.csd.cc250tnp,1996792,[(2-(Bis(4-methylphenyl)phosphino)-4-methylpyridine)(triphenylphosphine)2Cu2I2] ,0D,3.06,350,531,Greenish-yellow,83,6.5
10.1021/acs.inorgchem.0c03187,10.5517/ccdc.csd.cc250tvw,1996798,[(2-(Bis(4-methylphenyl)phosphino)-4-methylpyridin)(tris(4-methoxyphenyl)phosphine)2Cu2I2],0D,3.05,350,556,Greenish-yellow,61,8.7
10.1021/acs.inorgchem.0c03187,10.5517/ccdc.csd.cc250ttv,1996797,[(2-(Bis(4-methylphenyl)phosphino)-4-methylpyridin)(tris(4-fluorophenyl)phosphine)2Cu2I2],0D,— ,350,520,Greenish-yellow,85,6.9
10.1021/acs.inorgchem.0c03187,10.5517/ccdc.csd.cc250twx,1996799,[(2-(Bis(4-methoxyphenyl)phosphino)pyridine)(triphenylphosphine)2Cu2I2],0D,3.07,350,530,Greenish-yellow,87,6.1
10.1021/acs.inorgchem.0c03187, 10.5517/ccdc.csd.cc250tyz,1996801,[(2-(Bis(4-methoxyphenyl)phosphino)-4-metylpyridine)(triphenylphosphine)2Cu2I2],0D,3.1,350,538,Yellowish-green,76,7.3
10.1021/acs.inorgchem.0c03187, 10.5517/ccdc.csd.cc250tpq,1996793,[(2-(Bis(2-furyl)phosphino)pyridine)(triphenylphosphine)2Cu2I2],0D,3.18,350,552,Yellowish-green,68,4.4
10.1021/acs.inorgchem.0c03187,10.5517/ccdc.csd.cc250rwv,1996737,[(2-(Bis(2-furyl)phosphino)-4-methylpyridine)(triphenylphosphine)2Cu2I2],0D,3.18,350,520,Greenish-yellow,68,5.5
